epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_rgp2Ws.so
[0 - 7f3583f81780] {4}{threads}: reservation ('CPU proc 1d00000000000009') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    95 |  9.5000e-02 |  1.0000e-03 |  1.2742e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    96 |  9.6000e-02 |  1.0000e-03 |  1.4169e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    97 |  9.7000e-02 |  1.0000e-03 |  1.4688e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    98 |  9.8000e-02 |  1.0000e-03 |  1.5320e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    99 |  9.9000e-02 |  1.0000e-03 |  1.5328e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   100 |  1.0000e-01 |  1.0000e-03 |  1.5336e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.0100e-01 |  1.0000e-03 |  1.4101e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   102 |  1.0200e-01 |  1.0000e-03 |  6.6667e-01 |  8.4297e-01 |  1.0000e+00 |  1.0000e+00
   103 |  1.0300e-01 |  1.0000e-03 |  1.4638e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   104 |  1.0400e-01 |  1.0000e-03 | 3.4376e-312 | 3.6074e-312 | 2.2705e-312 |  1.0000e+00
   105 |  1.0500e-01 |  1.0000e-03 |  1.2605e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   106 |  1.0600e-01 |  1.0000e-03 |  1.4032e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   107 |  1.0700e-01 |  1.0000e-03 |  1.5981e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   108 |  1.0800e-01 |  1.0000e-03 |  1.5407e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   109 |  1.0900e-01 |  1.0000e-03 |  1.5417e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   110 |  1.1000e-01 |  1.0000e-03 |  1.6024e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   111 |  1.1100e-01 |  1.0000e-03 |  1.5436e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   112 |  1.1200e-01 |  1.0000e-03 |  1.5446e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   113 |  1.1300e-01 |  1.0000e-03 |  1.4544e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   114 |  1.1400e-01 |  1.0000e-03 |  6.6667e-01 |  9.2798e-01 |  1.0000e+00 |  1.0000e+00
   115 |  1.1500e-01 |  1.0000e-03 |  1.5476e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   116 |  1.1600e-01 |  1.0000e-03 |  1.5487e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   117 |  1.1700e-01 |  1.0000e-03 |  1.0000e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
   118 |  1.1800e-01 |  1.0000e-03 |  1.5508e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   119 |  1.1900e-01 |  1.0000e-03 |  1.6152e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   120 |  1.2000e-01 |  1.0000e-03 |  1.5530e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   121 |  1.2100e-01 |  1.0000e-03 |  1.0000e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
   122 |  1.2200e-01 |  1.0000e-03 |  1.7591e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   123 |  1.2300e-01 |  1.0000e-03 |  1.6210e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   124 |  1.2400e-01 |  1.0000e-03 |  1.6225e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
   125 |  1.2500e-01 |  1.0000e-03 |  1.4414e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00

Error in rho = 2.42069e-10
Error in u   = 8.21565e-15
Error in v   = 8.21565e-15
Error in w   = 9.54792e-15
Error in p   = 1.44329e-14

Average time per time step =  1.89965e+01
