:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/WCHR-regent/src
[0 - 7f390c839780] {4}{threads}: reservation ('DMA request queue') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = true
           prefix               = advection_3D_uzi_
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

Writing visualization file advection_3D_uzi_0000_px0000_pz0000.h5

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
    95 |  9.4500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    96 |  9.5500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    97 |  9.6500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    98 |  9.7500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    99 |  9.8500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   100 |  9.9500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.0050e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   102 |  1.0150e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   103 |  1.0250e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   104 |  1.0350e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   105 |  1.0450e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   106 |  1.0550e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   107 |  1.0650e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   108 |  1.0750e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   109 |  1.0850e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   110 |  1.0950e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   111 |  1.1050e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   112 |  1.1150e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   113 |  1.1250e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   114 |  1.1350e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   115 |  1.1450e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   116 |  1.1550e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   117 |  1.1650e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   118 |  1.1750e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   119 |  1.1850e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   120 |  1.1950e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   121 |  1.2050e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   122 |  1.2150e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   123 |  1.2250e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   124 |  1.2350e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   125 |  1.2450e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |        -nan

Writing visualization file advection_3D_uzi_0002_px0000_pz0000.h5
   126 |  1.2500e-01 |  5.0000e-04 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |        -nan

Error in rho = 0
Error in u   = 0
Error in v   = 0
Error in w   = 0
Error in p   = 0

Average time per time step =  4.97261e+01
