Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_g8FRco.so
[0 - 7f84910fd780] {4}{threads}: reservation ('CPU proc 1d00000000000003') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    72 |  2.1365e-01 |  2.9672e-03 |  3.8114e-02 |  1.0995e-03 |  5.8443e-03 |  1.0000e+00 |  1.0048e+00
    73 |  2.1661e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.8608e-02 |  1.0000e+00 |  1.0049e+00
    74 |  2.1958e-01 |  2.9672e-03 |  6.6667e-01 |  9.9997e-01 |  8.7522e-05 |  1.0000e+00 |  1.0051e+00
    75 |  2.2255e-01 |  2.9672e-03 |  3.8150e-02 |  1.1864e-03 |  1.7291e-01 |  1.0000e+00 |  1.0052e+00
    76 |  2.2551e-01 |  2.9672e-03 |  3.8162e-02 |  1.2155e-03 | -1.2801e-02 |  1.0000e+00 |  1.0053e+00
    77 |  2.2848e-01 |  2.9672e-03 |  3.6396e-06 | -9.8732e-02 |  1.7752e-01 |  1.0000e+00 |  1.0055e+00
    78 |  2.3145e-01 |  2.9672e-03 |  3.8550e-04 | -7.6651e-03 | 7.9051e-323 |  1.0000e+00 |  1.0056e+00
    79 |  2.3442e-01 |  2.9672e-03 |  3.8603e-04 |  1.2120e-02 | -1.2700e-02 |  1.0000e+00 |  1.0058e+00
    80 |  2.3738e-01 |  2.9672e-03 |  3.8214e-02 |  1.3320e-03 |  3.6443e-03 |  1.0000e+00 |  1.0059e+00
    81 |  2.4035e-01 |  2.9672e-03 |  3.8710e-04 | -7.6039e-03 |  7.6604e-03 |  1.0000e+00 |  1.0061e+00
    82 |  2.4332e-01 |  2.9672e-03 |  3.8765e-04 | -7.5837e-03 |  5.3952e-03 |  1.0000e+00 |  1.0062e+00
    83 |  2.4628e-01 |  2.9672e-03 |  3.8821e-04 |  1.2265e-02 |  1.6324e-01 |  1.0000e+00 |  1.0064e+00
    84 |  2.4925e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.5912e-01 |  1.0000e+00 |  1.0065e+00
    85 |  2.5222e-01 |  2.9672e-03 |  3.6777e-06 |  9.4107e-02 | -1.2503e-02 |  1.0000e+00 |  1.0067e+00
    86 |  2.5519e-01 |  2.9672e-03 |  3.8993e-04 |  1.2375e-02 |  3.9265e-03 |  1.0000e+00 |  1.0068e+00
    87 |  2.5815e-01 |  2.9672e-03 |  3.9052e-04 |  1.2411e-02 | -3.9738e-03 |  1.0000e+00 |  1.0070e+00
    88 |  2.6112e-01 |  2.9672e-03 |  3.7123e-04 |  6.9675e-03 |  3.8568e-03 |  1.0000e+00 |  1.0072e+00
    89 |  2.6409e-01 |  2.9672e-03 |  3.6856e-06 |  9.3983e-02 |  2.5383e-03 |  1.0000e+00 |  1.0073e+00
    90 |  2.6705e-01 |  2.9672e-03 |  3.9233e-04 | -7.4275e-03 |  5.2424e-03 |  1.0000e+00 |  1.0075e+00
    91 |  2.7002e-01 |  2.9672e-03 |  3.6925e-06 | -9.9066e-02 |  2.0640e-02 |  1.0000e+00 |  1.0077e+00
    92 |  2.7299e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.6347e-01 |  1.0000e+00 |  1.0078e+00
    93 |  2.7596e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.9189e-02 |  1.0000e+00 |  1.0080e+00
    94 |  2.7892e-01 |  2.9672e-03 |  3.7417e-04 | -1.1968e-02 |  2.1706e-01 |  1.0000e+00 |  1.0082e+00
    95 |  2.8189e-01 |  2.9672e-03 |  0.0000e+00 |  5.0930e+00 |  2.1939e-01 |  1.0000e+00 |  1.0083e+00
    96 |  2.8486e-01 |  2.9672e-03 |  0.0000e+00 |  5.0930e+00 |  2.2173e-01 |  1.0000e+00 |  1.0085e+00
    97 |  2.8782e-01 |  2.9672e-03 | -0.0000e+00 |  5.0930e+00 | -1.5794e-01 |  1.0000e+00 |  1.0087e+00
    98 |  2.9079e-01 |  2.9672e-03 |  3.7180e-06 | -9.9184e-02 | -1.2113e-02 |  1.0000e+00 |  1.0089e+00
    99 |  2.9376e-01 |  2.9672e-03 |  3.9818e-04 | -7.2681e-03 | -2.7419e-01 |  1.0000e+00 |  1.0091e+00
   100 |  2.9673e-01 |  2.9672e-03 |  3.7526e-04 | -1.2095e-02 | -1.6449e-02 |  1.0000e+00 |  1.0092e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  2.9969e-01 |  2.9672e-03 |  0.0000e+00 |  3.3333e-01 |  6.4017e-03 |  1.0000e+00 |  1.0094e+00
   102 |  3.0266e-01 |  2.9672e-03 |  3.8713e-02 |  3.9406e-03 | -1.6599e-02 |  1.0000e+00 |  1.0096e+00
   103 |  3.0563e-01 |  2.9671e-03 |  4.0098e-04 | -7.2004e-03 |  2.1388e-02 |  1.0000e+00 |  1.0098e+00
