Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
   125 |  1.8544e-01 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -3.3446e-03 |  1.0000e+00 |  1.0036e+00
   126 |  1.8692e-01 |  1.4835e-03 |  5.9986e-08 | -4.9229e-02 | -8.0625e-02 |  1.0000e+00 |  1.0037e+00
   127 |  1.8840e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  3.3186e-03 |  1.0000e+00 |  1.0037e+00
   128 |  1.8989e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  5.6213e-04 |  1.0000e+00 |  1.0038e+00
   129 |  1.9137e-01 |  1.4835e-03 |  2.3994e-05 |  2.9187e-03 |  4.8495e-03 |  1.0000e+00 |  1.0038e+00
   130 |  1.9286e-01 |  1.4835e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0039e+00
   131 |  1.9434e-01 |  1.4835e-03 |  2.3334e-05 |  1.9197e-03 |  4.0768e-03 |  1.0000e+00 |  1.0040e+00
   132 |  1.9582e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  1.6039e-01 |  1.0000e+00 |  1.0040e+00
   133 |  1.9731e-01 |  1.4835e-03 |  2.4050e-05 |  2.9370e-03 | 2.2069e-312 |  1.0000e+00 |  1.0041e+00
   134 |  1.9879e-01 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -3.3047e-03 |  1.0000e+00 |  1.0041e+00
   135 |  2.0027e-01 |  1.4835e-03 |  0.0000e+00 |  3.3333e-01 | -4.0747e-03 |  1.0000e+00 |  1.0042e+00
   136 |  2.0176e-01 |  1.4835e-03 | 2.1220e-313 | 6.1538e-313 | 2.2069e-312 |  1.0000e+00 |  1.0043e+00
